URN,LA,Estab,SCHOOLTYPE,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCLF,NUMFSM,NUMFSMEVER,NORFSMEVER,PNUMFSMEVER
100048,202,3655,State-funded primary,238,128,110,53.8%,46.2%,11,4.6%,45,18.9%,107,131,0,45.0%,55.0%,0.0%,167,162,228,71.1%
100049,202,4104,State-funded secondary,973,419,554,43.1%,56.9%,35,3.6%,186,19.1%,507,456,10,52.1%,46.9%,1.0%,616,495,684,72.4%
100050,202,4166,State-funded secondary,1218,1152,66,94.6%,5.4%,23,1.9%,182,14.9%,396,815,7,32.5%,66.9%,0.6%,413,328,890,36.9%
100051,202,4196,State-funded secondary,1076,468,608,43.5%,56.5%,44,4.1%,180,16.7%,635,441,0,59.0%,41.0%,0.0%,674,610,916,66.6%
100052,202,4275,State-funded secondary,1287,638,649,49.6%,50.4%,35,2.7%,154,12.0%,426,861,0,33.1%,66.9%,0.0%,545,516,1015,50.8%
100053,202,4285,State-funded secondary,1166,411,755,35.2%,64.8%,78,6.7%,186,16.0%,263,781,122,22.6%,67.0%,10.5%,387,366,907,40.4%
100054,202,4611,State-funded secondary,1068,919,149,86.0%,14.0%,15,1.4%,69,6.5%,249,809,10,23.3%,75.7%,0.9%,216,179,597,30.0%
100055,202,4652,State-funded secondary,839,377,462,44.9%,55.1%,28,3.3%,100,11.9%,389,450,0,46.4%,53.6%,0.0%,424,413,700,59.0%
100056,202,4688,State-funded secondary,879,101,778,11.5%,88.5%,33,3.8%,144,16.4%,326,540,13,37.1%,61.4%,1.5%,357,279,562,49.6%
100059,202,5401,State-funded secondary,689,649,40,94.2%,5.8%,6,0.9%,53,7.7%,371,307,11,53.8%,44.6%,1.6%,214,189,460,41.1%
100061,202,6013,Independent school,246,246,0,100.0%,0.0%,2,0.8%,48,19.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100062,202,6014,Independent school,167,167,0,100.0%,0.0%,0,0.0%,32,19.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100063,202,6016,Independent school,187,187,0,100.0%,0.0%,1,0.5%,19,10.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100064,202,6017,Independent school,471,0,471,0.0%,100.0%,1,0.2%,105,22.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100065,202,6018,Independent school,1305,117,1188,9.0%,91.0%,1,0.1%,176,13.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100066,202,6038,Independent school,198,198,0,100.0%,0.0%,0,0.0%,42,21.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100067,202,6084,Independent school,213,213,0,100.0%,0.0%,2,0.9%,23,10.8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100068,202,6174,Independent school,288,129,159,44.8%,55.2%,3,1.0%,27,9.4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100069,202,6179,Independent school,166,0,166,0.0%,100.0%,3,1.8%,22,13.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100070,202,6181,Independent school,269,3,266,1.1%,98.9%,1,0.4%,72,26.8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100073,202,6264,Independent school,359,151,208,42.1%,57.9%,0,0.0%,27,7.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100074,202,6269,Independent school,464,148,316,31.9%,68.1%,2,0.4%,48,10.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100075,202,6295,Independent school,168,72,96,42.9%,57.1%,0,0.0%,34,20.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100076,202,6307,Independent school,965,965,0,100.0%,0.0%,0,0.0%,116,12.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100077,202,6353,Independent school,72,72,0,100.0%,0.0%,1,1.4%,15,20.8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100078,202,6360,Independent school,137,50,87,36.5%,63.5%,4,2.9%,36,26.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100080,202,6380,Independent school,509,186,323,36.5%,63.5%,2,0.4%,42,8.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100081,202,6384,Independent school,115,57,58,49.6%,50.4%,0,0.0%,4,3.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100082,202,6385,Independent school,705,327,378,46.4%,53.6%,3,0.4%,115,16.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100084,202,6387,Independent school,226,159,67,70.4%,29.6%,6,2.7%,135,59.7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100087,202,6392,Independent school,192,93,99,48.4%,51.6%,0,0.0%,4,2.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100090,202,6395,Independent school,158,71,87,44.9%,55.1%,0,0.0%,57,36.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100091,202,7008,State-funded special school,36,21,15,58.3%,41.7%,35,97.2%,1,2.8%,36,0,0,100.0%,0.0%,0.0%,20,20,34,58.8%
100092,202,7137,State-funded special school,30,6,24,20.0%,80.0%,30,100.0%,0,0.0%,3,27,0,10.0%,90.0%,0.0%,23,25,30,83.3%
100096,202,7205,State-funded special school,259,65,194,25.1%,74.9%,259,100.0%,0,0.0%,116,143,0,44.8%,55.2%,0.0%,141,129,224,57.6%
100097,203,1001,State-funded nursery,148,68,80,45.9%,54.1%,0,0.0%,16,10.8%,45,103,0,30.4%,69.6%,0.0%,10,NA,NA,NA
100098,203,1006,State-funded nursery,140,84,56,60.0%,40.0%,1,0.7%,70,50.0%,35,100,5,25.0%,71.4%,3.6%,19,NA,NA,NA
100099,203,1016,State-funded nursery,110,46,64,41.8%,58.2%,1,0.9%,25,22.7%,49,59,2,44.5%,53.6%,1.8%,28,NA,NA,NA
100102,203,1022,State-funded nursery,194,98,96,50.5%,49.5%,1,0.5%,31,16.0%,50,143,1,25.8%,73.7%,0.5%,33,0,3,0.0%
100103,203,1101,State-funded AP school,172,68,104,39.5%,60.5%,64,37.2%,106,61.6%,8,164,0,4.7%,95.3%,0.0%,60,91,150,60.7%
100114,203,2071,State-funded primary,400,186,214,46.5%,53.5%,5,1.3%,78,19.5%,243,134,23,60.8%,33.5%,5.8%,141,144,369,39.0%
100115,203,2106,State-funded primary,217,91,126,41.9%,58.1%,15,6.9%,93,42.9%,100,113,4,46.1%,52.1%,1.8%,82,83,200,41.5%
100120,203,2174,State-funded primary,404,186,218,46.0%,54.0%,6,1.5%,63,15.6%,131,271,2,32.4%,67.1%,0.5%,174,162,350,46.3%
100125,203,2228,State-funded primary,270,129,141,47.8%,52.2%,18,6.7%,79,29.3%,111,159,0,41.1%,58.9%,0.0%,93,103,247,41.7%
100126,203,2242,State-funded primary,233,112,121,48.1%,51.9%,9,3.9%,67,28.8%,119,114,0,51.1%,48.9%,0.0%,82,85,214,39.7%
100127,203,2258,State-funded primary,422,224,198,53.1%,46.9%,17,4.0%,65,15.4%,97,324,1,23.0%,76.8%,0.2%,42,44,396,11.1%
100129,203,2271,State-funded primary,377,177,200,46.9%,53.1%,10,2.7%,66,17.5%,128,249,0,34.0%,66.0%,0.0%,136,135,356,37.9%
100131,203,2299,State-funded primary,381,183,198,48.0%,52.0%,11,2.9%,77,20.2%,123,258,0,32.3%,67.7%,0.0%,147,151,357,42.3%
100134,203,2325,State-funded primary,780,391,389,50.1%,49.9%,19,2.4%,116,14.9%,220,557,3,28.2%,71.4%,0.4%,205,196,742,26.4%
100137,203,2410,State-funded primary,225,114,111,50.7%,49.3%,4,1.8%,53,23.6%,91,130,4,40.4%,57.8%,1.8%,33,32,209,15.3%
100140,203,2471,State-funded primary,973,486,487,49.9%,50.1%,19,2.0%,230,23.6%,213,753,7,21.9%,77.4%,0.7%,306,304,909,33.4%
100141,203,2552,State-funded primary,438,217,221,49.5%,50.5%,5,1.1%,47,10.7%,128,304,6,29.2%,69.4%,1.4%,62,69,402,17.2%
100142,203,2598,State-funded primary,203,102,101,50.2%,49.8%,8,3.9%,29,14.3%,73,130,0,36.0%,64.0%,0.0%,63,63,189,33.3%
100146,203,2662,State-funded primary,446,229,217,51.3%,48.7%,25,5.6%,49,11.0%,70,376,0,15.7%,84.3%,0.0%,87,88,412,21.4%
100149,203,2798,State-funded primary,430,231,199,53.7%,46.3%,12,2.8%,55,12.8%,73,357,0,17.0%,83.0%,0.0%,90,92,395,23.3%
100152,203,2813,State-funded primary,344,186,158,54.1%,45.9%,7,2.0%,96,27.9%,106,238,0,30.8%,69.2%,0.0%,172,161,318,50.6%
100155,203,2877,State-funded primary,448,230,218,51.3%,48.7%,9,2.0%,76,17.0%,251,197,0,56.0%,44.0%,0.0%,167,166,398,41.7%
100158,203,2900,State-funded primary,750,333,417,44.4%,55.6%,12,1.6%,67,8.9%,479,257,14,63.9%,34.3%,1.9%,199,210,709,29.6%
100159,203,2901,State-funded primary,346,143,203,41.3%,58.7%,5,1.4%,54,15.6%,130,216,0,37.6%,62.4%,0.0%,145,149,332,44.9%
100162,203,2915,State-funded primary,229,125,104,54.6%,45.4%,9,3.9%,35,15.3%,87,140,2,38.0%,61.1%,0.9%,34,40,205,19.5%
100163,203,2916,State-funded primary,406,203,203,50.0%,50.0%,14,3.4%,72,17.7%,174,232,0,42.9%,57.1%,0.0%,104,108,358,30.2%
100164,203,2917,State-funded primary,428,225,203,52.6%,47.4%,18,4.2%,36,8.4%,122,306,0,28.5%,71.5%,0.0%,96,107,381,28.1%
100165,203,3322,State-funded primary,164,86,78,52.4%,47.6%,5,3.0%,31,18.9%,49,115,0,29.9%,70.1%,0.0%,77,78,164,47.6%
100166,203,3331,State-funded primary,209,97,112,46.4%,53.6%,11,5.3%,37,17.7%,35,173,1,16.7%,82.8%,0.5%,24,30,209,14.4%
100167,203,3338,State-funded primary,454,217,237,47.8%,52.2%,15,3.3%,94,20.7%,91,363,0,20.0%,80.0%,0.0%,57,57,418,13.6%
100168,203,3382,State-funded primary,416,195,221,46.9%,53.1%,13,3.1%,22,5.3%,86,330,0,20.7%,79.3%,0.0%,90,99,416,23.8%
100169,203,3481,State-funded primary,142,79,63,55.6%,44.4%,3,2.1%,23,16.2%,42,100,0,29.6%,70.4%,0.0%,71,75,142,52.8%
100170,203,3500,State-funded primary,278,140,138,50.4%,49.6%,10,3.6%,40,14.4%,81,197,0,29.1%,70.9%,0.0%,100,97,261,37.2%
100171,203,3526,State-funded secondary,1714,832,882,48.5%,51.5%,30,1.8%,249,14.5%,832,882,0,48.5%,51.5%,0.0%,707,680,1508,45.1%
100173,203,3561,State-funded primary,342,153,189,44.7%,55.3%,6,1.8%,54,15.8%,149,193,0,43.6%,56.4%,0.0%,87,86,313,27.5%
100174,203,3577,State-funded primary,213,123,90,57.7%,42.3%,3,1.4%,40,18.8%,61,152,0,28.6%,71.4%,0.0%,84,90,190,47.4%
100175,203,3585,State-funded primary,204,90,114,44.1%,55.9%,5,2.5%,28,13.7%,22,179,3,10.8%,87.7%,1.5%,45,46,204,22.5%
100176,203,3604,State-funded primary,188,97,91,51.6%,48.4%,2,1.1%,22,11.7%,34,154,0,18.1%,81.9%,0.0%,55,57,188,30.3%
100177,203,3632,State-funded primary,413,220,193,53.3%,46.7%,6,1.5%,58,14.0%,111,302,0,26.9%,73.1%,0.0%,112,109,375,29.1%
100178,203,3657,State-funded primary,143,63,80,44.1%,55.9%,2,1.4%,21,14.7%,72,71,0,50.3%,49.7%,0.0%,27,37,125,29.6%
100179,203,3662,State-funded primary,170,83,87,48.8%,51.2%,6,3.5%,24,14.1%,28,142,0,16.5%,83.5%,0.0%,68,73,170,42.9%
100180,203,3666,State-funded primary,200,97,103,48.5%,51.5%,7,3.5%,42,21.0%,119,81,0,59.5%,40.5%,0.0%,40,47,188,25.0%
100181,203,3668,State-funded primary,220,113,107,51.4%,48.6%,6,2.7%,51,23.2%,171,48,1,77.7%,21.8%,0.5%,51,52,187,27.8%
100182,203,4077,State-funded secondary,1261,1227,34,97.3%,2.7%,15,1.2%,240,19.0%,268,981,12,21.3%,77.8%,1.0%,256,259,1023,25.3%
100183,203,4130,State-funded secondary,1496,805,691,53.8%,46.2%,53,3.5%,248,16.6%,844,652,0,56.4%,43.6%,0.0%,464,513,1209,42.4%
100190,203,4294,State-funded secondary,2080,966,1114,46.4%,53.6%,134,6.4%,457,22.0%,333,1707,40,16.0%,82.1%,1.9%,424,428,1346,31.8%
100193,203,4682,State-funded secondary,637,637,0,100.0%,0.0%,11,1.7%,35,5.5%,99,523,15,15.5%,82.1%,2.4%,140,178,637,27.9%
100198,203,6065,Independent school,346,131,215,37.9%,62.1%,2,0.6%,37,10.7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100199,203,6114,Independent school,386,193,193,50.0%,50.0%,1,0.3%,45,11.7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100200,203,6169,Independent school,185,69,116,37.3%,62.7%,138,74.6%,6,3.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100201,203,6170,Independent school,214,103,111,48.1%,51.9%,1,0.5%,11,5.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100202,203,6293,Independent school,1316,563,753,42.8%,57.2%,6,0.5%,371,28.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100203,209,6294,Independent school,129,55,74,42.6%,57.4%,0,0.0%,2,1.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100204,203,7118,State-funded special school,39,0,39,0.0%,100.0%,39,100.0%,0,0.0%,1,38,0,2.6%,97.4%,0.0%,21,27,39,69.2%
100212,204,1008,State-funded nursery,84,37,47,44.0%,56.0%,0,0.0%,6,7.1%,30,54,0,35.7%,64.3%,0.0%,8,NA,NA,NA
100213,204,1051,State-funded nursery,115,59,56,51.3%,48.7%,4,3.5%,36,31.3%,67,48,0,58.3%,41.7%,0.0%,70,NA,NA,NA
100218,204,2048,State-funded primary,437,221,216,50.6%,49.4%,29,6.6%,60,13.7%,170,267,0,38.9%,61.1%,0.0%,219,209,389,53.7%
100221,204,2120,State-funded primary,105,51,54,48.6%,51.4%,9,8.6%,12,11.4%,36,68,1,34.3%,64.8%,1.0%,44,41,101,40.6%
100223,204,2150,State-funded primary,402,195,207,48.5%,51.5%,20,5.0%,50,12.4%,181,221,0,45.0%,55.0%,0.0%,165,156,360,43.3%
100224,204,2155,State-funded primary,33,17,16,51.5%,48.5%,7,21.2%,5,15.2%,15,18,0,45.5%,54.5%,0.0%,16,16,33,48.5%
100225,204,2238,State-funded primary,301,138,163,45.8%,54.2%,29,9.6%,41,13.6%,107,194,0,35.5%,64.5%,0.0%,130,112,179,62.6%
100229,204,2376,State-funded primary,433,173,260,40.0%,60.0%,9,2.1%,44,10.2%,83,350,0,19.2%,80.8%,0.0%,119,117,388,30.2%
100230,204,2388,State-funded primary,422,205,217,48.6%,51.4%,17,4.0%,79,18.7%,203,218,1,48.1%,51.7%,0.2%,127,123,395,31.1%
100231,204,2421,State-funded primary,641,310,331,48.4%,51.6%,36,5.6%,90,14.0%,253,388,0,39.5%,60.5%,0.0%,148,145,601,24.1%
100232,204,2431,State-funded primary,471,240,231,51.0%,49.0%,25,5.3%,113,24.0%,270,201,0,57.3%,42.7%,0.0%,248,221,384,57.6%
100234,204,2450,State-funded primary,584,288,296,49.3%,50.7%,21,3.6%,118,20.2%,276,307,1,47.3%,52.6%,0.2%,314,308,550,56.0%
100235,204,2487,State-funded primary,429,217,212,50.6%,49.4%,35,8.2%,62,14.5%,197,232,0,45.9%,54.1%,0.0%,157,154,395,39.0%
100236,204,2489,State-funded primary,115,62,53,53.9%,46.1%,12,10.4%,23,20.0%,87,28,0,75.7%,24.3%,0.0%,64,61,107,57.0%
100239,204,2532,State-funded primary,185,96,89,51.9%,48.1%,10,5.4%,15,8.1%,141,44,0,76.2%,23.8%,0.0%,79,77,176,43.8%
100240,204,2539,State-funded primary,433,214,219,49.4%,50.6%,17,3.9%,71,16.4%,185,248,0,42.7%,57.3%,0.0%,185,181,397,45.6%
100241,204,2545,State-funded primary,462,233,229,50.4%,49.6%,19,4.1%,69,14.9%,169,293,0,36.6%,63.4%,0.0%,137,126,410,30.7%
100242,204,2564,State-funded primary,361,179,182,49.6%,50.4%,10,2.8%,71,19.7%,196,165,0,54.3%,45.7%,0.0%,160,152,338,45.0%
100243,204,2592,State-funded primary,222,104,118,46.8%,53.2%,14,6.3%,57,25.7%,117,105,0,52.7%,47.3%,0.0%,138,132,194,68.0%
100244,204,2615,State-funded primary,256,137,119,53.5%,46.5%,29,11.3%,65,25.4%,125,131,0,48.8%,51.2%,0.0%,140,137,243,56.4%
100245,204,2636,State-funded primary,416,208,208,50.0%,50.0%,56,13.5%,49,11.8%,120,296,0,28.8%,71.2%,0.0%,224,221,399,55.4%
100248,204,2654,State-funded primary,672,323,349,48.1%,51.9%,37,5.5%,65,9.7%,408,263,1,60.7%,39.1%,0.1%,313,303,584,51.9%
100250,204,2779,State-funded primary,217,114,103,52.5%,47.5%,11,5.1%,40,18.4%,140,77,0,64.5%,35.5%,0.0%,112,113,195,57.9%
100251,204,2795,State-funded primary,209,99,110,47.4%,52.6%,18,8.6%,72,34.4%,99,110,0,47.4%,52.6%,0.0%,102,96,196,49.0%
100252,204,2856,State-funded primary,203,81,122,39.9%,60.1%,11,5.4%,29,14.3%,67,136,0,33.0%,67.0%,0.0%,37,38,185,20.5%
100253,204,2859,State-funded primary,426,218,208,51.2%,48.8%,26,6.1%,33,7.7%,165,260,1,38.7%,61.0%,0.2%,111,105,398,26.4%
100254,204,2860,State-funded primary,220,104,116,47.3%,52.7%,31,14.1%,26,11.8%,110,110,0,50.0%,50.0%,0.0%,101,101,199,50.8%
100255,204,2861,State-funded primary,164,83,81,50.6%,49.4%,7,4.3%,18,11.0%,66,98,0,40.2%,59.8%,0.0%,86,85,153,55.6%
100256,204,2862,State-funded primary,186,96,90,51.6%,48.4%,10,5.4%,29,15.6%,86,100,0,46.2%,53.8%,0.0%,75,73,169,43.2%
100257,204,2863,State-funded primary,216,101,115,46.8%,53.2%,11,5.1%,39,18.1%,156,58,2,72.2%,26.9%,0.9%,71,66,196,33.7%
100258,204,2864,State-funded primary,457,229,228,50.1%,49.9%,12,2.6%,62,13.6%,87,370,0,19.0%,81.0%,0.0%,118,111,413,26.9%
100259,204,2865,State-funded primary,205,103,102,50.2%,49.8%,12,5.9%,41,20.0%,129,76,0,62.9%,37.1%,0.0%,87,82,186,44.1%
100260,204,2872,State-funded primary,258,131,127,50.8%,49.2%,6,2.3%,73,28.3%,142,116,0,55.0%,45.0%,0.0%,133,128,228,56.1%
100261,204,2896,State-funded primary,264,127,137,48.1%,51.9%,12,4.5%,46,17.4%,150,114,0,56.8%,43.2%,0.0%,155,138,228,60.5%
100263,204,3358,State-funded primary,254,125,129,49.2%,50.8%,15,5.9%,59,23.2%,75,179,0,29.5%,70.5%,0.0%,113,105,204,51.5%
100264,204,3371,State-funded primary,200,89,111,44.5%,55.5%,7,3.5%,23,11.5%,40,159,1,20.0%,79.5%,0.5%,51,52,200,26.0%
100266,204,3458,State-funded primary,268,144,124,53.7%,46.3%,20,7.5%,46,17.2%,124,144,0,46.3%,53.7%,0.0%,143,140,236,59.3%
100267,204,3543,State-funded primary,154,79,75,51.3%,48.7%,6,3.9%,38,24.7%,71,83,0,46.1%,53.9%,0.0%,87,82,142,57.7%
100268,204,3553,State-funded primary,193,99,94,51.3%,48.7%,6,3.1%,33,17.1%,152,41,0,78.8%,21.2%,0.0%,90,79,161,49.1%
100269,204,3572,State-funded primary,194,103,91,53.1%,46.9%,6,3.1%,37,19.1%,38,156,0,19.6%,80.4%,0.0%,119,116,176,65.9%
100270,204,3616,State-funded primary,137,73,64,53.3%,46.7%,9,6.6%,42,30.7%,35,102,0,25.5%,74.5%,0.0%,87,82,130,63.1%
100271,204,3618,State-funded primary,100,54,46,54.0%,46.0%,5,5.0%,20,20.0%,37,63,0,37.0%,63.0%,0.0%,53,53,94,56.4%
100274,204,3659,State-funded primary,197,91,106,46.2%,53.8%,12,6.1%,43,21.8%,124,72,1,62.9%,36.5%,0.5%,142,131,178,73.6%
100275,204,3663,State-funded primary,122,64,58,52.5%,47.5%,12,9.8%,29,23.8%,58,64,0,47.5%,52.5%,0.0%,27,26,112,23.2%
100279,204,4310,State-funded secondary,1666,726,940,43.6%,56.4%,69,4.1%,273,16.4%,363,1302,1,21.8%,78.2%,0.1%,509,477,1268,37.6%
100282,204,4641,State-funded secondary,531,510,21,96.0%,4.0%,5,0.9%,39,7.3%,267,257,7,50.3%,48.4%,1.3%,247,230,422,54.5%
100284,204,4697,State-funded secondary,831,331,500,39.8%,60.2%,34,4.1%,176,21.2%,286,545,0,34.4%,65.6%,0.0%,548,499,738,67.6%
100285,204,4714,State-funded secondary,1094,521,573,47.6%,52.4%,27,2.5%,183,16.7%,491,603,0,44.9%,55.1%,0.0%,610,533,859,62.0%
100287,204,6072,Independent school,204,0,204,0.0%,100.0%,3,1.5%,35,17.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100289,204,6233,Independent school,636,0,636,0.0%,100.0%,12,1.9%,71,11.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
